spec_id,family,model,window,sample_rule,y,term,b,se,t,p,ci95_low,ci95_high,sign,p_lt_0_05,pre_estimator_N,pre_estimator_projects,estimator_N,estimator_projects,rsquared_within,rsquared_overall,rsquared_between
R6_2_C_COMMON,R6_2_COMMON_SUPPORT,C,2024-01..2025-12,All five baseline analytic variables observed; project has >=2 common-support months,ln_resolution,ln_contributors,-0.2714261564408974,0.03355926068628623,-8.087965911353164,6.661338147750939e-16,-0.3372072464430938,-0.205645066438701,negative,True,13781,805,13781,805,-0.00743650702849008,-0.830185334433237,-0.8616953971187942
R6_2_D_COMMON,R6_2_COMMON_SUPPORT,D,2024-01..2025-12,All five baseline analytic variables observed; project has >=2 common-support months,ln_open_age,ln_issues_new,-0.09302263922926897,0.012816068005650707,-7.258282274115161,4.143352327901084e-13,-0.11814401871479763,-0.06790125974374031,negative,True,13781,805,13781,805,0.12844690461794117,-0.07421480176544093,-0.06312993127792632
R6_2_D_COMMON,R6_2_COMMON_SUPPORT,D,2024-01..2025-12,All five baseline analytic variables observed; project has >=2 common-support months,ln_open_age,ln_contributors,-0.008592263545618439,0.007764012213052661,-1.1066782624547322,0.26845361198947026,-0.02381087014542574,0.00662634305418886,negative,False,13781,805,13781,805,0.12844690461794117,-0.07421480176544093,-0.06312993127792632
R6_3_A_AUX_NET_CODE,R6_3_AUX_SIGNED_CHANGE_CONTEXT,A,2024-01..2025-12,Original R5 model-specific >=2-month sample; add asinh_net_code_lines; no sign/magnitude filtering,ln_open_age,ln_resolution,-0.008306845273429814,0.0022507984009955107,-3.69062163441904,0.00022462419299928982,-0.012718741462507014,-0.0038949490843526134,negative,True,13781,805,13781,805,0.13973355401342724,-0.08188522248299335,-0.07046017164464868
R6_3_A_AUX_NET_CODE,R6_3_AUX_SIGNED_CHANGE_CONTEXT,A,2024-01..2025-12,Original R5 model-specific >=2-month sample; add asinh_net_code_lines; no sign/magnitude filtering,ln_open_age,ln_issues_new,-0.09498110911721559,0.012865785091255745,-7.3824573038896535,1.6497914145929826e-13,-0.12019994177166028,-0.0697622764627709,negative,True,13781,805,13781,805,0.13973355401342724,-0.08188522248299335,-0.07046017164464868
R6_3_A_AUX_NET_CODE,R6_3_AUX_SIGNED_CHANGE_CONTEXT,A,2024-01..2025-12,Original R5 model-specific >=2-month sample; add asinh_net_code_lines; no sign/magnitude filtering,ln_open_age,ln_contributors,-0.011265914043867876,0.007889548418195577,-1.427954230927264,0.15332914916741358,-0.026730590304692423,0.004198762216956668,negative,False,13781,805,13781,805,0.13973355401342724,-0.08188522248299335,-0.07046017164464868
R6_3_A_AUX_NET_CODE,R6_3_AUX_SIGNED_CHANGE_CONTEXT,A,2024-01..2025-12,Original R5 model-specific >=2-month sample; add asinh_net_code_lines; no sign/magnitude filtering,ln_open_age,asinh_net_code_lines,0.00024399148220191847,0.00036380313031851076,0.670669001633667,0.5024433758242552,-0.00046911620594851177,0.0009570991703523486,positive,False,13781,805,13781,805,0.13973355401342724,-0.08188522248299335,-0.07046017164464868
R6_3_B_AUX_NET_CODE,R6_3_AUX_SIGNED_CHANGE_CONTEXT,B,2024-01..2025-12,Original R5 model-specific >=2-month sample; add asinh_net_code_lines; no sign/magnitude filtering,asinh_backlog,ln_resolution,0.012557205722832412,0.0055111681702590554,2.2785016415570847,0.02271289760231321,0.0017545060976870992,0.023359905347977723,positive,True,13797,805,13797,805,-0.03566464510360978,0.0883405294462557,0.08247192038041551
R6_3_B_AUX_NET_CODE,R6_3_AUX_SIGNED_CHANGE_CONTEXT,B,2024-01..2025-12,Original R5 model-specific >=2-month sample; add asinh_net_code_lines; no sign/magnitude filtering,asinh_backlog,ln_issues_new,0.12147523957433146,0.06508676359273728,1.8663585784419967,0.06201377318718282,-0.006104383283037196,0.2490548624317001,positive,False,13797,805,13797,805,-0.03566464510360978,0.0883405294462557,0.08247192038041551
R6_3_B_AUX_NET_CODE,R6_3_AUX_SIGNED_CHANGE_CONTEXT,B,2024-01..2025-12,Original R5 model-specific >=2-month sample; add asinh_net_code_lines; no sign/magnitude filtering,asinh_backlog,ln_contributors,-0.030070345117026085,0.02443494871715827,-1.2306285339535266,0.2184841541444189,-0.07796643596247797,0.017825745728425806,negative,False,13797,805,13797,805,-0.03566464510360978,0.0883405294462557,0.08247192038041551
